mandt,spras,dimid,txdim,operation_flag,is_deleted,recordstamp
100,D,FORCE,Kraft,L,False,2022-01-31 20:43:45.861987+00:00
200,D,FORCE,Kraft,L,False,2022-01-31 20:43:45.861987+00:00
250,D,FORCE,Kraft,L,False,2022-01-31 20:43:45.861987+00:00
000,D,MASS,Masse,L,False,2022-01-31 20:43:45.861987+00:00
001,D,MASS,Masse,L,False,2022-01-31 20:43:45.861987+00:00
050,D,MASS,Masse,L,False,2022-01-31 20:43:45.861987+00:00
100,D,MASS,Masse,L,False,2022-01-31 20:43:45.861987+00:00
200,D,MASS,Masse,L,False,2022-01-31 20:43:45.861987+00:00
250,D,MASS,Masse,L,False,2022-01-31 20:43:45.861987+00:00
000,E,POWER,Power,L,False,2022-01-31 20:43:45.861987+00:00
001,E,POWER,Power,L,False,2022-01-31 20:43:45.861987+00:00
050,E,POWER,Power,L,False,2022-01-31 20:43:45.861987+00:00
100,E,POWER,Power,L,False,2022-01-31 20:43:45.861987+00:00
200,E,POWER,Power,L,False,2022-01-31 20:43:45.861987+00:00
250,E,POWER,Power,L,False,2022-01-31 20:43:45.861987+00:00
000,E,SPEED,Speed,L,False,2022-01-31 20:43:45.861987+00:00
001,E,SPEED,Speed,L,False,2022-01-31 20:43:45.861987+00:00
050,E,SPEED,Speed,L,False,2022-01-31 20:43:45.861987+00:00
100,E,SPEED,Speed,L,False,2022-01-31 20:43:45.861987+00:00
200,E,SPEED,Speed,L,False,2022-01-31 20:43:45.861987+00:00
250,E,SPEED,Speed,L,False,2022-01-31 20:43:45.861987+00:00
000,D,DENSI,Dichte,L,False,2022-01-31 20:43:45.861987+00:00
001,D,DENSI,Dichte,L,False,2022-01-31 20:43:45.861987+00:00
050,D,DENSI,Dichte,L,False,2022-01-31 20:43:45.861987+00:00
100,D,DENSI,Dichte,L,False,2022-01-31 20:43:45.861987+00:00
200,D,DENSI,Dichte,L,False,2022-01-31 20:43:45.861987+00:00
250,D,DENSI,Dichte,L,False,2022-01-31 20:43:45.861987+00:00
000,E,ENERGY,Energy,L,False,2022-01-31 20:43:45.861987+00:00
001,E,ENERGY,Energy,L,False,2022-01-31 20:43:45.861987+00:00
050,E,ENERGY,Energy,L,False,2022-01-31 20:43:45.861987+00:00
100,E,ENERGY,Energy,L,False,2022-01-31 20:43:45.861987+00:00
200,E,ENERGY,Energy,L,False,2022-01-31 20:43:45.861987+00:00
250,E,ENERGY,Energy,L,False,2022-01-31 20:43:45.861987+00:00
000,E,LENGTH,Length,L,False,2022-01-31 20:43:45.861987+00:00
001,E,LENGTH,Length,L,False,2022-01-31 20:43:45.861987+00:00
050,E,LENGTH,Length,L,False,2022-01-31 20:43:45.861987+00:00
100,E,LENGTH,Length,L,False,2022-01-31 20:43:45.861987+00:00
200,E,LENGTH,Length,L,False,2022-01-31 20:43:45.861987+00:00
250,E,LENGTH,Length,L,False,2022-01-31 20:43:45.861987+00:00
000,D,LENGTH,Länge,L,False,2022-01-31 20:43:45.861987+00:00
001,D,LENGTH,Länge,L,False,2022-01-31 20:43:45.861987+00:00
050,D,LENGTH,Länge,L,False,2022-01-31 20:43:45.861987+00:00
100,D,LENGTH,Länge,L,False,2022-01-31 20:43:45.861987+00:00
200,D,LENGTH,Länge,L,False,2022-01-31 20:43:45.861987+00:00
250,D,LENGTH,Länge,L,False,2022-01-31 20:43:45.861987+00:00
000,E,POINTS,Points,L,False,2022-01-31 20:43:45.861987+00:00
001,E,POINTS,Points,L,False,2022-01-31 20:43:45.861987+00:00
050,E,POINTS,Points,L,False,2022-01-31 20:43:45.861987+00:00
100,E,POINTS,Points,L,False,2022-01-31 20:43:45.861987+00:00
200,E,POINTS,Points,L,False,2022-01-31 20:43:45.861987+00:00
250,E,POINTS,Points,L,False,2022-01-31 20:43:45.861987+00:00
000,D,POINTS,Punkte,L,False,2022-01-31 20:43:45.861987+00:00
001,D,POINTS,Punkte,L,False,2022-01-31 20:43:45.861987+00:00
050,D,POINTS,Punkte,L,False,2022-01-31 20:43:45.861987+00:00
100,D,POINTS,Punkte,L,False,2022-01-31 20:43:45.861987+00:00
200,D,POINTS,Punkte,L,False,2022-01-31 20:43:45.861987+00:00
250,D,POINTS,Punkte,L,False,2022-01-31 20:43:45.861987+00:00
000,E,VOLUME,Volume,L,False,2022-01-31 20:43:45.861987+00:00
001,E,VOLUME,Volume,L,False,2022-01-31 20:43:45.861987+00:00
050,E,VOLUME,Volume,L,False,2022-01-31 20:43:45.861987+00:00
100,E,VOLUME,Volume,L,False,2022-01-31 20:43:45.861987+00:00
200,E,VOLUME,Volume,L,False,2022-01-31 20:43:45.861987+00:00
250,E,VOLUME,Volume,L,False,2022-01-31 20:43:45.861987+00:00
000,E,DENSI,Density,L,False,2022-01-31 20:43:45.861987+00:00
001,E,DENSI,Density,L,False,2022-01-31 20:43:45.861987+00:00
050,E,DENSI,Density,L,False,2022-01-31 20:43:45.861987+00:00
100,E,DENSI,Density,L,False,2022-01-31 20:43:45.861987+00:00
200,E,DENSI,Density,L,False,2022-01-31 20:43:45.861987+00:00
250,E,DENSI,Density,L,False,2022-01-31 20:43:45.861987+00:00
000,D,ENERGY,Energie,L,False,2022-01-31 20:43:45.861987+00:00
001,D,ENERGY,Energie,L,False,2022-01-31 20:43:45.861987+00:00
050,D,ENERGY,Energie,L,False,2022-01-31 20:43:45.861987+00:00
100,D,ENERGY,Energie,L,False,2022-01-31 20:43:45.861987+00:00
200,D,ENERGY,Energie,L,False,2022-01-31 20:43:45.861987+00:00
250,D,ENERGY,Energie,L,False,2022-01-31 20:43:45.861987+00:00
000,D,SURFAC,Fläche,L,False,2022-01-31 20:43:45.861987+00:00
001,D,SURFAC,Fläche,L,False,2022-01-31 20:43:45.861987+00:00
050,D,SURFAC,Fläche,L,False,2022-01-31 20:43:45.861987+00:00
100,D,SURFAC,Fläche,L,False,2022-01-31 20:43:45.861987+00:00
200,D,SURFAC,Fläche,L,False,2022-01-31 20:43:45.861987+00:00
250,D,SURFAC,Fläche,L,False,2022-01-31 20:43:45.861987+00:00
000,D,VOLUME,Volumen,L,False,2022-01-31 20:43:45.861987+00:00
001,D,VOLUME,Volumen,L,False,2022-01-31 20:43:45.861987+00:00
050,D,VOLUME,Volumen,L,False,2022-01-31 20:43:45.861987+00:00
100,D,VOLUME,Volumen,L,False,2022-01-31 20:43:45.861987+00:00
200,D,VOLUME,Volumen,L,False,2022-01-31 20:43:45.861987+00:00
250,D,VOLUME,Volumen,L,False,2022-01-31 20:43:45.861987+00:00
000,D,FREQU,Frequenz,L,False,2022-01-31 20:43:45.861987+00:00
001,D,FREQU,Frequenz,L,False,2022-01-31 20:43:45.861987+00:00
050,D,FREQU,Frequenz,L,False,2022-01-31 20:43:45.861987+00:00
100,D,FREQU,Frequenz,L,False,2022-01-31 20:43:45.861987+00:00
